"WP Carey Inc | Price History                                          10-May-2021 00:27",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
WPC,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 21-Feb-2011 - 21-Mar-2012",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",15013391,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"46.00 - 48.00",939159,"0,0625547552847988",16,"0,0586080586080586",,,,,,,,
"44.00 - 46.00",866504,"0,0577154088639935",17,"0,0622710622710623",,,,,,,,
"42.00 - 44.00",1056618,"0,0703783708823676",25,"0,0915750915750916",,,,,,,,
"40.00 - 42.00",2873960,"0,191426440568956",42,"0,153846153846154",,,,,,,,
"38.00 - 40.00",3927360,"0,261590469468223",75,"0,274725274725275",,,,,,,,
"36.00 - 38.00",2637072,"0,175647993181554",44,"0,161172161172161",,,,,,,,
"34.00 - 36.00",1828431,"0,121786676973909",40,"0,146520146520147",,,,,,,,
"32.00 - 34.00",884287,"0,0588998847761975",14,"0,0512820512820513",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"WPC Statistics     Daily     22-Feb-2011 - 21-Mar-2012",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"49,313945",2012/02/21,Max,245375,2011/07/25,Advancing,7894430,Up,140,Up,"0,109057835586784",2011/08/09
Low,"32,093995",2011/02/24,Min,13519,2011/11/25,Declining,6932076,Down,130,Down,"-0,0779329388211353",2011/08/08
Avg,"39,2602314505494",,Avg,"54994,1062271062",,Total,15013391,Unch,2,Period,"0,412443586519861","22-Feb-2011 - 21-Mar-2012"
,,,,,,,,,,,,
,,,,,,,,,,,,
"WPC History     Daily     22-Feb-2011 - 21-Mar-2012",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2012/03/21,"46,219246","0,379238999999998","0,00827310083089643","46,209363","45,76414","46,332149",42731,,,,,
2012/03/20,"45,840007","-0,319443","-0,00692042474509553","45,919868","45,820042","46,309189",40557,,,,,
2012/03/19,"46,15945","0,149738999999997","0,00325450859710892","46,139485","45,969781","46,399032",65006,,,,,
2012/03/16,"46,009711","-0,299478000000001","-0,00646692387551854","46,289223","45,939933","46,409014",59752,,,,,
2012/03/15,"46,309189","0,129774000000005","0,00281021316532496","46,638614","46,11952","46,741434",35935,,,,,
2012/03/14,"46,179415","-0,529077000000001","-0,0113272121908796","46,908143","46,066612","46,908143",35795,,,,,
2012/03/13,"46,708492","0,439233999999999","0,00949299856937405","46,229328","46,039659","46,898161",43027,,,,,
2012/03/12,"46,269258","-0,296483000000002","-0,00636697695844681","46,448945","45,955406","46,848248",38348,,,,,
2012/03/09,"46,565741","-0,522088999999994","-0,0110875570184482","47,117778","45,949816","47,287481",39848,,,,,
2012/03/08,"47,08783","2,17620299999999","0,0484552251914631","45,420739","45,278986","47,377225",52838,,,,,
2012/03/07,"44,911627",0,0,"45,111279","44,61215","45,181057",58802,,,,,
2012/03/06,"44,911627","-0,808588999999998","-0,0176855901118227","45,570478","44,734437","45,859973",87754,,,,,
2012/03/05,"45,720216","0,499228000000002","0,0110397411042855","45,221087","44,92161","45,859973",57563,,,,,
2012/03/02,"45,220988","-9,8999999998739E-05","-2,18924414618205E-06","45,221087","44,931591","45,550413",34990,,,,,
2012/03/01,"45,221087","-1,048171","-0,0226537239909921","46,42898","45,12226","46,42898",71083,,,,,
2012/02/29,"46,269258","-0,179687000000001","-0,00386848398817242","46,618649","45,790094","46,978021",55910,,,,,
