"Ventas Inc | Price History                                          09-May-2021 23:12",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
VTR,,,,,,,,,,,,
"Interval: Daily",,,,,,,,,,,,
"History Period: 14-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
"Currency Conversion: USD",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VAP: Total",149160659,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,
"40.00 - 42.00",10580159,"0,0709312969715426",12,"0,0441176470588235",,,,,,,,
"38.00 - 40.00",4409800,"0,0295640957177589",6,"0,0220588235294118",,,,,,,,
"36.00 - 38.00",17103500,"0,114664953310511",18,"0,0661764705882353",,,,,,,,
"34.00 - 36.00",21478000,"0,143992391452226",38,"0,139705882352941",,,,,,,,
"32.00 - 34.00",33553300,"0,22494738374681",59,"0,216911764705882",,,,,,,,
"30.00 - 32.00",5347100,"0,0358479242170685",16,"0,0588235294117647",,,,,,,,
"28.00 - 30.00",25825400,"0,173138146299018",66,"0,242647058823529",,,,,,,,
"26.00 - 28.00",30863400,"0,206913808285065",57,"0,209558823529412",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"VTR Statistics     Daily     17-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,"Price Change (Close-Close)",,
High,"41,89181",2007/02/08,Max,3728900,2006/01/20,Advancing,87581231,Up,152,Up,"0,0295461788490902",2006/06/29
Low,"25,797041",2006/02/02,Min,134800,2006/08/28,Declining,57874628,Down,113,Down,"-0,0784780194991153",2006/01/20
Avg,"31,6337772536765",,Avg,"548384,775735294",,Total,149160659,Unch,6,Period,"0,41583862669989","17-Jan-2006 - 14-Feb-2007"
,,,,,,,,,,,,
,,,,,,,,,,,,
Low,"25,797041",2006/02/02,Min,134800,2006/08/28,Declining,57874628,Down,113,Down,"-0,0784780194991153",2006/01/20
Avg,"31,6337772536765",,Avg,"548384,775735294",,Total,149160659,Unch,6,Period,"0,41583862669989","17-Jan-2006 - 14-Feb-2007"
,,,,,,,,,,,,
,,,,,,,,,,,,
"VTR History     Daily     17-Jan-2006 - 14-Feb-2007",,,,,,,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,Volume,,,,,
2007/02/14,"41,062183","0,279453999999994","0,00685226336864299","40,6954","40,564406","41,20191",541177,,,,,
2007/02/13,"40,782729","0,340583000000002","0,00842148683207865","40,346083","40,031698","40,887524",865154,,,,,
2007/02/12,"40,442146","-0,305652000000002","-0,00750106791046726","40,599338","39,656183","40,599338",1021028,,,,,
2007/02/09,"40,747798","-0,576371999999999","-0,0139475759585734","41,079649","39,830841","41,341636",1524700,,,,,
2007/02/08,"41,32417","-0,331851","-0,00796645939851049","41,874344","41,20191","41,89181",921100,,,,,
2007/02/07,"41,656021","0,392981000000006","0,0095238014455553","41,26304","41,035984","41,656021",958600,,,,,
2007/02/06,"41,26304","0,113527999999995","0,00275891485663293","41,149512","41,044717","41,437698",948200,,,,,
2007/02/05,"41,149512","0,104795000000003","0,00255319095025074","41,079649","41,018518","41,228108",388100,,,,,
2007/02/02,"41,044717","0,436645999999996","0,0107526900255862","40,861326","40,773996","41,079649",891100,,,,,
2007/02/01,"40,608071","0,218323000000005","0,00540540634222341","40,520742","40,319885","40,730332",781000,,,,,
2007/01/31,"40,389748","0,323117999999994","0,00806451653158735","40,162692","39,839574","40,599338",1037900,,,,,
2007/01/30,"40,06663","0,620037000000004","0,0157183916998866","39,429127","39,341798","40,101562",702100,,,,,
2007/01/29,"39,446593","0,130994000000001","0,00333185817669982","39,140941","39,106009","39,525189",662700,,,,,
2007/01/26,"39,315599","0,069862999999998","0,00178014243381747","39,245736","39,009947","39,350531",565900,,,,,
2007/01/25,"39,245736","0,427913000000004","0,0110236218038297","39,001214","38,704295","39,411661",669300,,,,,
2007/01/24,"38,817823","0,567639999999997","0,0148401904377816","38,468506","38,232717","38,844022",610500,,,,,
2007/01/23,"38,250183","0,200856999999999","0,00527885829042016","37,874668","37,686386","38,424841",709300,,,,,
2007/01/22,"38,049326","0,340584","0,00903196399391949","37,76114","37,490419","38,162854",1192100,,,,,
2007/01/19,"37,708742","-0,0873289999999969","-0,00231053116605683","37,796071","37,490419","37,857202",568800,,,,,
2007/01/18,"37,796071","0,0174659999999989","0,000462325170556162","37,778605","37,472953","37,900866",949000,,,,,
2007/01/17,"37,778605","0,0960619999999963","0,00254924408896704","37,638879","37,542817","38,145388",769000,,,,,
2007/01/16,"37,682543","0,471577000000003","0,0126730652464116","36,678258","36,582196","38,119189",3438600,,,,,
2007/01/12,"37,210966","0,296919000000003","0,00804352337742872","36,870382","36,77432","37,219699",509100,,,,,
2007/01/11,"36,914047","0,14846","0,00403801522331195","36,756854","36,713189","37,184767",508900,,,,,
2007/01/10,"36,765587","0,130993999999994","0,00357569142367691","36,477401","36,302742","36,765587",620300,,,,,
2007/01/09,"36,634593","0,462845000000002","0,012795759828914","36,372606","35,72637","36,765587",1285300,,,,,
2007/01/08,"36,171748","0,069862999999998","0,00193516211134122","36,241612","35,84863","36,241612",701500,,,,,
2007/01/05,"36,101885","-0,454111999999995","-0,0124223667049758","36,555997","35,988357","36,582196",826400,,,,,
2007/01/04,"36,555997","-0,0261990000000054","-0,000716168050709843","36,678258","36,084419","36,678258",747400,,,,,
